iter	Passed	Remaining
0	59	59784
1	60	30056
2	60	20139
3	60	15186
4	61	12210
5	61	10219
6	62	8804
7	62	7738
8	62	6906
9	63	6243
10	63	5697
11	63	5246
12	64	4872
13	64	4542
14	64	4256
15	65	4005
16	65	3783
17	65	3588
18	66	3414
19	66	3256
20	66	3112
21	67	2984
22	67	2866
23	67	2756
24	68	2656
25	68	2564
26	68	2478
27	69	2399
28	69	2326
29	69	2257
30	70	2195
31	70	2136
32	71	2082
33	71	2028
34	71	1979
35	72	1932
36	72	1886
37	72	1843
38	73	1802
39	73	1763
40	73	1727
41	74	1690
42	74	1658
43	74	1625
44	75	1594
45	75	1564
46	75	1537
47	76	1513
48	76	1490
49	77	1465
50	77	1440
51	77	1416
52	78	1394
53	78	1373
54	78	1353
55	79	1333
56	79	1313
57	79	1294
58	79	1275
59	80	1257
60	80	1239
61	80	1223
62	81	1206
63	81	1191
64	81	1176
65	82	1162
66	82	1148
67	82	1132
68	82	1118
69	83	1106
70	83	1093
71	83	1080
72	84	1069
73	84	1057
74	84	1046
75	85	1035
76	85	1025
77	85	1014
78	86	1004
79	86	994
80	86	984
81	87	974
82	87	965
83	87	956
84	87	945
85	88	937
86	88	927
87	89	922
88	89	915
89	89	908
90	90	900
91	90	892
92	90	885
93	91	878
94	91	872
95	91	865
96	92	858
97	92	851
98	92	844
99	93	838
100	93	832
101	93	824
102	93	818
103	94	812
104	94	806
105	94	800
106	95	795
107	95	789
108	95	783
109	96	778
110	96	773
111	96	768
112	97	763
113	97	759
114	98	754
115	98	748
116	98	743
117	98	739
118	99	734
119	99	729
120	99	725
121	100	720
122	100	714
123	100	710
124	100	706
125	101	702
126	101	698
127	101	692
128	102	689
129	102	686
130	102	682
131	103	678
132	103	675
133	103	671
134	104	668
135	104	664
136	104	660
137	105	656
138	105	652
139	105	649
140	106	646
141	106	643
142	106	640
143	107	637
144	107	633
145	107	630
146	108	627
147	108	624
148	108	621
149	109	618
150	109	615
151	109	612
152	110	610
153	110	607
154	110	604
155	111	601
156	111	599
157	111	596
158	112	593
159	112	590
160	112	587
161	113	584
162	113	582
163	113	580
164	114	577
165	114	575
166	114	572
167	115	569
168	115	567
169	115	564
170	116	566
171	117	564
172	117	562
173	117	559
174	118	558
175	118	555
176	119	553
177	119	551
178	119	548
179	119	546
180	120	543
181	120	541
182	120	539
183	121	536
184	121	534
185	121	532
186	121	530
187	122	528
188	122	526
189	123	524
190	123	522
191	123	520
192	124	518
193	124	516
194	124	514
195	124	512
196	125	510
197	125	508
198	125	506
199	126	505
200	126	503
201	126	501
202	127	499
203	127	497
204	127	496
205	128	494
206	128	492
207	128	490
208	129	489
209	129	488
210	130	486
211	130	484
212	130	483
213	131	481
214	131	479
215	131	478
216	132	476
217	132	474
218	132	472
219	132	471
220	133	469
221	133	467
222	133	466
223	134	464
224	134	462
225	134	461
226	135	459
227	135	458
228	135	456
229	135	455
230	136	453
231	136	452
232	136	450
233	137	449
234	137	447
235	137	445
236	138	444
237	138	443
238	138	441
239	138	440
240	139	438
241	139	437
242	139	435
243	140	434
244	140	433
245	140	431
246	141	430
247	141	428
248	141	427
249	142	426
250	142	424
251	142	423
252	142	422
