iter	Passed	Remaining
0	60	60688
1	61	30530
2	61	20485
3	62	15459
4	62	12417
5	62	10418
6	63	8981
7	63	7889
8	63	7038
9	64	6358
10	64	5804
11	64	5341
12	65	4951
13	65	4615
14	66	4334
15	66	4078
16	66	3852
17	66	3655
18	67	3473
19	67	3311
20	67	3164
21	68	3030
22	68	2910
23	68	2800
24	69	2697
25	69	2603
26	69	2519
27	70	2442
28	70	2366
29	71	2298
30	71	2233
31	71	2171
32	72	2113
33	72	2058
34	72	2006
35	73	1959
36	73	1913
37	73	1869
38	74	1826
39	74	1786
40	74	1750
41	75	1717
42	75	1685
43	76	1654
44	76	1622
45	76	1591
46	77	1562
47	77	1534
48	77	1508
49	78	1483
50	78	1462
51	78	1438
52	79	1414
53	79	1393
54	79	1374
55	80	1353
56	80	1334
57	80	1315
58	81	1296
59	81	1278
60	81	1261
61	82	1244
62	82	1229
63	82	1212
64	83	1197
65	83	1182
66	83	1168
67	84	1154
68	84	1142
69	84	1128
70	85	1116
71	85	1103
72	85	1091
73	86	1079
74	86	1068
75	86	1056
76	87	1045
77	87	1034
78	87	1023
79	88	1013
80	88	1005
81	88	995
82	89	983
83	89	974
84	89	965
85	90	957
86	90	949
87	90	942
88	91	934
89	91	926
90	91	918
91	92	910
92	92	902
93	92	896
94	93	888
95	93	881
96	93	874
97	94	867
98	94	860
99	94	853
100	95	847
101	95	842
102	95	836
103	96	830
104	96	824
105	96	818
106	97	812
107	97	806
108	98	801
109	98	795
110	98	791
111	99	785
112	99	779
113	99	774
114	99	769
115	100	764
116	100	758
117	100	754
118	101	751
119	101	746
120	102	742
121	102	737
122	102	733
123	103	733
124	104	730
125	104	726
126	104	721
127	105	717
128	105	713
129	106	709
130	106	705
131	106	701
132	106	697
133	107	693
134	107	690
135	108	686
136	108	682
137	108	678
138	108	675
139	109	672
140	109	668
141	109	664
142	110	660
143	110	657
144	110	654
145	111	650
146	111	647
147	111	644
148	112	641
149	112	638
150	113	635
151	113	632
152	113	629
153	113	626
154	114	623
155	114	619
156	114	616
157	115	613
158	115	611
159	116	609
160	116	605
161	116	602
162	116	599
163	117	597
164	117	594
165	117	591
166	118	589
167	118	587
168	118	584
169	119	582
170	119	579
171	119	577
172	120	574
173	120	572
174	120	570
175	121	567
176	121	565
177	121	563
178	122	560
179	122	559
180	123	556
181	123	554
182	123	552
183	124	549
184	124	547
185	124	545
186	124	543
187	125	542
188	125	539
189	126	537
190	126	536
191	126	534
192	127	532
193	127	529
194	127	527
195	128	525
196	128	523
197	128	521
198	129	519
199	129	517
200	129	515
201	130	513
202	130	512
203	130	510
204	131	508
205	131	506
206	131	504
207	132	503
208	132	501
209	132	499
210	133	498
211	133	496
212	133	494
213	134	492
214	134	490
215	135	490
216	135	488
217	135	486
218	136	487
219	137	486
220	137	484
221	137	482
222	138	481
223	138	479
224	138	477
225	139	476
226	139	474
227	139	472
228	139	471
229	140	469
230	140	468
231	140	466
232	141	464
233	141	463
234	141	461
235	142	460
236	142	459
237	142	457
238	143	455
239	143	454
240	143	452
241	144	451
242	144	450
243	144	448
